canonical_path,sha256,duplicate_source_paths,scene_id,view,physical_stack_ids,tray_counts_gt,annotation_status,split
WhatsApp Unknown 2026-07-03 at 12.08.24/WhatsApp Image 2026-07-03 at 11.56.54.jpeg,2bd09fc07625afe38c25ab44e529ed148328c001ffa2a57703e46123f6be0541,WhatsApp Unknown 2026-07-03 at 12.08.40/WhatsApp Image 2026-07-03 at 11.58.14 (1).jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.56.54 AM.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.58.14 AM (1).jpeg,,,,,needs_stack_face_polygons,
WhatsApp Unknown 2026-07-03 at 12.08.24/WhatsApp Image 2026-07-03 at 11.56.55 (1).jpeg,aba11f5f340139f8eef9cc7070f0ef58da6104ce2555fa22e112d9f08e6eced7,WhatsApp Unknown 2026-07-03 at 12.08.40/WhatsApp Image 2026-07-03 at 11.58.13.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.56.55 AM (1).jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.58.13 AM.jpeg,,,,,needs_stack_face_polygons,
WhatsApp Unknown 2026-07-03 at 12.08.24/WhatsApp Image 2026-07-03 at 11.56.55.jpeg,461de1ec4a17c9a3f45353f7340caed0ef4129c057d4b3e9234f4d0206b6c8c8,WhatsApp Unknown 2026-07-03 at 12.08.40/WhatsApp Image 2026-07-03 at 11.58.12 (1).jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.56.55 AM.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.58.12 AM (1).jpeg,,,,,needs_stack_face_polygons,
WhatsApp Unknown 2026-07-03 at 12.08.24/WhatsApp Image 2026-07-03 at 11.56.56.jpeg,4fd023ddf36012939a9f8fdcc2ce75a1b56ea1c96f2f1fa3cea425acdd29d8a4,WhatsApp Unknown 2026-07-03 at 12.08.40/WhatsApp Image 2026-07-03 at 11.58.13 (1).jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.56.56 AM.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.58.13 AM (1).jpeg,,,,,needs_stack_face_polygons,
WhatsApp Unknown 2026-07-03 at 12.08.24/WhatsApp Image 2026-07-03 at 11.56.57.jpeg,181bfbf19aa959bc0ae6e832fba40c920f6da27011109d148ac4e638fcf0eee3,WhatsApp Unknown 2026-07-03 at 12.08.40/WhatsApp Image 2026-07-03 at 11.58.13 (2).jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.56.57 AM.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.58.13 AM (2).jpeg,,,,,needs_stack_face_polygons,
WhatsApp Unknown 2026-07-03 at 12.08.24/WhatsApp Image 2026-07-03 at 11.56.58.jpeg,db70d8595298c90bb2fa6ccd8776fdde28b4347acd71b4e05c04455167416bb3,WhatsApp Unknown 2026-07-03 at 12.08.40/WhatsApp Image 2026-07-03 at 11.58.14.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.56.58 AM.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.58.14 AM.jpeg,,,,,needs_stack_face_polygons,
WhatsApp Unknown 2026-07-03 at 12.08.24/WhatsApp Image 2026-07-03 at 11.56.59.jpeg,f2609a61a6e18f779175d989a4c48cc7c2c112a5491792d3c49423ca91ff147a,WhatsApp Unknown 2026-07-03 at 12.08.40/WhatsApp Image 2026-07-03 at 11.58.11.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.56.59 AM.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.58.11 AM.jpeg,,,,,needs_stack_face_polygons,
WhatsApp Unknown 2026-07-03 at 12.08.24/WhatsApp Image 2026-07-03 at 11.57.00.jpeg,14dbc45a33c3a27279e063b833326ebff3203ccd8b085769888d147b03f6d951,WhatsApp Unknown 2026-07-03 at 12.08.40/WhatsApp Image 2026-07-03 at 11.58.11 (1).jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.57.00 AM.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.58.11 AM (1).jpeg,,,,,needs_stack_face_polygons,
WhatsApp Unknown 2026-07-03 at 12.08.24/WhatsApp Image 2026-07-03 at 11.57.01 (1).jpeg,16685e90ac8c0dd5b226c795dce371fb1961d894f0538a61dc12ad4e87da0eff,WhatsApp Unknown 2026-07-03 at 12.08.40/WhatsApp Image 2026-07-03 at 11.58.11 (3).jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.57.01 AM (1).jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.58.11 AM (3).jpeg,,,,,needs_stack_face_polygons,
WhatsApp Unknown 2026-07-03 at 12.08.24/WhatsApp Image 2026-07-03 at 11.57.01.jpeg,2933deddd82b91879957b6fd29ec16e81d39c7eff87661fcb2dc4b91b60de5aa,WhatsApp Unknown 2026-07-03 at 12.08.40/WhatsApp Image 2026-07-03 at 11.58.11 (2).jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.57.01 AM.jpeg|egg pic data/WhatsApp Image 2026-07-03 at 11.58.11 AM (2).jpeg,,,,,needs_stack_face_polygons,
