dataset,split,source,view,count_range,images,annotations,count_semantics
canonical_clean,test,cloud,UNKNOWN,1-10,4,1,annotation_count_proxy_not_scene_ground_truth
canonical_clean,test,cloud,UNKNOWN,31-60,1,32,annotation_count_proxy_not_scene_ground_truth
canonical_clean,test,local,UNKNOWN,1-10,1,4,annotation_count_proxy_not_scene_ground_truth
canonical_clean,test,local,UNKNOWN,11-30,4,74,annotation_count_proxy_not_scene_ground_truth
canonical_clean,test,local,UNKNOWN,91-120,1,120,annotation_count_proxy_not_scene_ground_truth
canonical_clean,train,cloud,UNKNOWN,1-10,41,50,annotation_count_proxy_not_scene_ground_truth
canonical_clean,train,cloud,UNKNOWN,11-30,6,97,annotation_count_proxy_not_scene_ground_truth
canonical_clean,train,cloud,UNKNOWN,31-60,2,97,annotation_count_proxy_not_scene_ground_truth
canonical_clean,train,local,UNKNOWN,1-10,18,73,annotation_count_proxy_not_scene_ground_truth
canonical_clean,train,local,UNKNOWN,11-30,11,210,annotation_count_proxy_not_scene_ground_truth
canonical_clean,train,local,UNKNOWN,120+,5,700,annotation_count_proxy_not_scene_ground_truth
canonical_clean,train,local,UNKNOWN,31-60,9,437,annotation_count_proxy_not_scene_ground_truth
canonical_clean,train,local,UNKNOWN,61-90,8,616,annotation_count_proxy_not_scene_ground_truth
canonical_clean,train,local,UNKNOWN,91-120,6,637,annotation_count_proxy_not_scene_ground_truth
canonical_clean,valid,cloud,UNKNOWN,1-10,12,23,annotation_count_proxy_not_scene_ground_truth
canonical_clean,valid,cloud,UNKNOWN,11-30,1,11,annotation_count_proxy_not_scene_ground_truth
canonical_clean,valid,local,UNKNOWN,1-10,2,1,annotation_count_proxy_not_scene_ground_truth
canonical_clean,valid,local,UNKNOWN,120+,1,131,annotation_count_proxy_not_scene_ground_truth
canonical_clean,valid,local,UNKNOWN,61-90,2,149,annotation_count_proxy_not_scene_ground_truth
canonical_clean,valid,local,UNKNOWN,91-120,2,220,annotation_count_proxy_not_scene_ground_truth
