split,path,width,height,annotations,sha256,dhash
train,train/images/08c3b9b331a572e9fbc9_jpg.rf.47091b2c75f62d673161058f4c617e06.jpg,640,640,3,2c6cd89c2dd2fab3367847fdbe4a84268410ebca6ed89079636a88a872e95f8a,000105161e765677
train,train/images/140927627abaed6bc683_jpg.rf.87777a54aeebb87e349e011147c650cf.jpg,640,640,3,49eb4ead2a800af8b389b677d10ddb73d695f43743458f1c5015bb8eaa6ba707,3edffbd9d9fefcf8
train,train/images/1f4e07b914f69cf7734a_jpeg.rf.120bcfb4ad79c9737acb894798520a87.jpg,480,640,23,6931870f98ffe4fadf30dfe9ecb0072ea9c2ae81721ed6d4b6cf4aa3721e954a,075181a1c5e6fccc
train,train/images/2721453227aa78d464f0_jpg.rf.3156acf0d44079f39f1c33db9ca08ae8.jpg,640,640,16,0a7216a84830735e4eac46adc7a94c370a3e906929c5d90fe1fb044150c20ce3,8fb8bc8c8e8ccccc
train,train/images/2a05251e7b50984713f5_jpg.rf.2d371e46fa9a9cda971dc82255cec1a0.jpg,640,640,4,9bc462c645e4bd7acbf5ddcf01a9dcf9396034fbe8baa5c001dbfeb85f1a9662,ef3f5ecc0c8cc405
train,train/images/32766c4e23b881d53bb7_jpeg.rf.0dd51a38db1307b54c47481960c1f609.jpg,640,480,100,6cd1a8bfe3075b0cb391a029baf57dfa8bf7c1037ff2a8068c0ed5538a0a3194,0526428080a8b994
train,train/images/392dd4934876e29bf6cd_jpg.rf.542e12abbaac80100e33d02ab4d181e3.jpg,640,640,6,221d6bf7e7528adc6617596c84c10f3f28a919f62c3a8cbdd0214d1ea28b542d,475c195b17575757
train,train/images/3b3ed50fdc6b4236e467_jpeg.rf.080d395aa3fef0f912243a73d0887528.jpg,480,640,8,ed334565ab573b95dbab115657111e8f27ceffd6c0e28f93eb7461af69dea7ff,c0f0b8b0b298b293
train,train/images/471c41d2a954b267a9bf_jpg.rf.4be97945cdcdb9dca1e32b5f33d47353.jpg,640,640,43,e12f249457b277e093043306ccf0fe58ac8941d9f8c7151df6b5f2c3a0633b3e,92c86151c1e51c30
train,train/images/5aae0b69f91f8bdcbbf7_jpg.rf.b6983fd4127023336eeb7ee485d2f70c.jpg,640,640,13,dce5825740d6dff2a4c092712ca1f036c88b1d5bc7c4c4ddbf1b5e8a5cb89f57,2c7c1ddb17575757
train,train/images/6230e5bfdf3c5cd5e6ec_jpeg.rf.9c711a2f97702112edbfd4964f5d21b1.jpg,480,640,60,a07dcf9d14be1fd9462d3d2a70b753088ebe7f032dc0da17300e1121d155945a,6868e8e86a223327
train,train/images/71135eb061c4bb2834b5_jpg.rf.b42d50b809427781e11aabcafe881960.jpg,640,640,1,a05ec9f4d3f468cca44f9adc3f4947171156996b8e0a2581e0e200c8e0df5208,3e7351372f1c89d3
train,train/images/74c1c55c022a4b7dd1f6_jpeg.rf.3dba54472a88cfb452b5e6797fee0a98.jpg,480,640,5,5cee198dce061d7322aaac2f0ea8bffdfa16e7eab7fbb7a2687d7c8bb9aa4fa0,f0c0f081969b393d
train,train/images/7c8a50fe5901742805a6_jpg.rf.cefa4fbf47632ca81dc5a1fc00ac4a74.jpg,640,640,14,d388134b04349238d1503e50ef90a004bff2383f13eb8b17b823efd835f1660a,ef3f1e4d0d8c8686
train,train/images/806329c29d3aee5d41eb_jpg.rf.0f8b0077e60ddb3733796e560af313a9.jpg,640,640,1,8faef20da52360554104eacfead4fe3ca6bb009ceece9100b214d0c3c385aca6,06863b71e0e82000
train,train/images/8910b133e62daef79399_jpg.rf.c0425df4d76cef264d012c9524c7cac0.jpg,640,640,20,e3597da2165041872af2d5ee2b6767ec7db3569f785448c84e92b7eb970d4265,a8d45aa9955a6a5c
train,train/images/9590ceca8ca176d0d246_jpg.rf.13c0f797a046fd5c4bea5a1d8ec4191a.jpg,640,640,1,4828386528c1411c1cc9c0f2313d43cf8ae143cb713ffd7e4a5c67608ee996cd,2f4cc4d4586864e6
train,train/images/98d66ec21cca75d245dd_jpeg.rf.6947ecd98a60e54ce570dd3a976c8014.jpg,480,640,73,0a107040eae8a5f3d5283b02d98498769ce6bebcb57b6bc3662d0930dca62266,1a98a58554f16f6d
train,train/images/9b375e96a00568fd4dc9_jpg.rf.6b88ea2022e108e696677db4cceb7f7c.jpg,640,640,8,c2bafb3294e1647cb7911d3037c2c8afc9871337f40d659ea5dcdc7262dcf28e,870763630d9c9c94
train,train/images/a0bab6bc320585fa213a_jpg.rf.ba1109e56470427dcbd70ef0a17e16a7.jpg,640,640,15,52be73e00ea6cd57512474942b8dfda943723f64c083c73094137669014f7123,d6fe0be85fc99b9f
train,train/images/a3d560ec5fa32afe89ac_jpg.rf.e42b8972d416f2f3d43282eae01d3b54.jpg,640,640,3,27ff88188d622c90a384c1a71ea69d5d6bedebb010d8fc885f42aca3ca193868,4707c6d6be3e5eef
train,train/images/ab8c9531b80991831e2b_jpg.rf.cb1452eef7e5a7023b05e5dd129b71e5.jpg,640,640,2,95caf518dcd455c2db1070cbc6740bd12c467b7600260e57398b0fb75bff80e2,0ba98f2f0f8783fa
train,train/images/c1e45bba99bea2933155_jpg.rf.db609a060acab52c9682a61df8deb874.jpg,640,640,1,fc5bcce704c772707528511920c25748f40591f28b2d0f57f3c7508f750ed6a1,c8f8f8f87a6a6a68
train,train/images/c2a9b50ff52dd7dda148_jpg.rf.eb7170f527ca61f6a3c870aca3db6e23.jpg,640,640,19,345909c13e8a542ca2bdd636b483353fd65043c12a355770db775afcdae85352,6f6c19db17575757
train,train/images/cf562ce0f6a3d606204a_jpg.rf.67622074828e336eaa4a6ac19985aeb1.jpg,640,640,10,95eab82e1053bded97e42c44f0c64d889ee06921432daa442856e7bf6ee5df47,e8ccc8aa8a83cb9a
train,train/images/d328c4489632a61b2071_jpg.rf.0479b9462b6821b317046b70a521876c.jpg,474,640,120,be9d20adbe86cba24a5221964ff85631e02dfd83ef90fb53bd773b0e37daad03,f6d66e72f2e2cbb3
train,train/images/d840c16a733d06010b10_jpg.rf.3f4e5bd9451fe7c99ecfe918844b063f.jpg,640,640,54,206cd345c881cec3727d4ad5d3d897a1d2a8ecbd4815ca17bb950d82eea2cb97,3d191f5f175757d7
train,train/images/dd102925d9227b62b3cb_jpg.rf.6246c42c55660a80e97b3d071cc2befa.jpg,640,640,1,9f6338c46032c723e9312a6e45420ba2fffb7f156fdec5c16cf232696e427be2,3e3f7fd9f3fcfcf8
train,train/images/e145a7c762d70711c7be_jpg.rf.74d494242a3acc83d2579be9d307ac51.jpg,359,640,1,f1f38976cfe78360788581903f41484084c7216ed54cc804ac587149adb1f190,0360e37307030031
train,train/images/f32b812dd65d0c12b803_jpg.rf.deb8e3d5304c0e583d049f75f252824f.jpg,640,640,6,4b8936c25bd8e75d22344248c19876b5a83549fe06614068635d9db4efe47f16,7535bd1a185dde3a
train,train/images/WhatsApp-Image-2026-07-03-at-11-56-55-AM_jpeg.rf.f2918ce1919e1416a1f8832d008bdda9.jpg,480,640,120,8b001513cdf1f71535820f640bf316869412dba2ef892a0823d787a2ac9e1529,023f525256911991
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-00-AM_jpeg.rf.7380bd645aad8934219b6c74c07c3581.jpg,640,480,79,87931706a626858db7e6e5f68899df9a8061cfc8afe2318e3af1213d33544e5a,949494949496b616
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-02-AM_jpeg.rf.2e675a700d201ad47d85e96db6a07424.jpg,640,480,52,65d1b1dc3ba1cfb11dac60c61955abb19a21a2afaa5c946fbba8690c8698bc68,4b4659d9d9d9de5a
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-10-AM_jpeg.rf.841362bcc4f0c9cfaf4f5bf60107b328.jpg,480,640,39,95090f7291cf61555d3857d5c3b9792408c98386a84217aa8755601aadd23e46,7f2f2969658dadac
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-16-AM_jpeg.rf.b8d6768d8a0324dcbe0067deb3f30322.jpg,480,640,38,b36d27c556fdeaba3a36b7b6f4e6cb3bb925b823df6c155e1f839087520ceba9,0c4c6767e0801c3c
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-17-AM-2-_jpeg.rf.62c3a1bd2885ac44ecbc8ec7b83da2dd.jpg,480,640,18,3de40d4faaf11cc08a55ceb497b411753eb71ee840f7b33485931c5ebd9028cb,1313333333362606
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-21-AM_jpeg.rf.e533e6909b76423bd99c2337cd6fe1a6.jpg,480,640,17,321edb14d38d0ad43c76a10957c0c1d9685e1954d7b3820cdf3e9b38b0469d51,12131b1919131b1c
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-28-AM-1-_jpeg.rf.918b72a6eafb86cc69db4b6a7d1e2d9b.jpg,480,640,74,f535709f8a213c0b2be71b028fa1818872c898b9822a3a35066c39b49994d02b,0224357456120002
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-31-AM_jpeg.rf.0f3f9aafe62a40c6ada269bc635e34fa.jpg,480,640,4,c1984e3cf2d9e3e9d1b8ef3386cb15c12e4e1ab5baf6b9f1d059463b87762722,1613272333333337
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-32-AM-1-_jpeg.rf.0828add7c8b7eae77317d0e144a128e3.jpg,480,640,90,3179a4c19b09b7ea85434792e51b1101dca15e1aa2affa3bc3de591591f2699f,fffdfdfaca8a9103
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-35-AM_jpeg.rf.d5565989d6e0ac18aebb3ba8b2501dda.jpg,480,640,80,07f8dcea384cc7c2188917fae784dada7d41161d13c032aa24e0f0f0468b2fda,fffef4f828390101
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-37-AM_jpeg.rf.0ffe063e6175126d42e23a7fbd035740.jpg,640,480,139,72b488b27afea307768622c6c1f912f1eeb02c187af4ee98019f1a954697176e,dcf9f4b070706c0d
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-38-AM_jpeg.rf.1e6e92e17ffacfd0da81b67f2811f055.jpg,640,480,159,07a11c6613a1c41f7a07fa136190de1c3787181062c01933f0e8bf5060234815,fbffeff1a8b8f19b
