id,filename,source,width,height,sha256,dhash,duplicate_of,benchmark_matches,training_matches,nearest_benchmark,benchmark_distance,training_distance,scene_id,split,ground_truth_trays,ground_truth_status,label_status
wh001,WhatsApp Image 2026-09-07 at 9.36.47 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.36.47 AM (1).jpeg,1280,960,15bd8794cc832730f75675b11a6c7a2283aa1d5fc94604ace80ca7cf4cafa17f,7b3e161606e4e6e6,,,,img08,27,20,,pending_scene_review,,not_verified,pending_visual_review
wh002,WhatsApp Image 2026-09-07 at 9.36.47 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.36.47 AM.jpeg,1280,960,15bd8794cc832730f75675b11a6c7a2283aa1d5fc94604ace80ca7cf4cafa17f,7b3e161606e4e6e6,wh001,,,img08,27,20,,pending_scene_review,,not_verified,pending_visual_review
wh003,WhatsApp Image 2026-09-07 at 9.38.15 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.38.15 AM.jpeg,1280,960,781235b77c91279f5f148027e2eae27baa2e1fd8daa2d582c55f45982968dbf3,7b1e161684e4e6e6,,,,img08,24,21,,pending_scene_review,,not_verified,pending_visual_review
wh004,WhatsApp Image 2026-09-07 at 9.39.37 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.39.37 AM.jpeg,960,1280,6e5428014c0155e223cd15172b8caaa058165f429490ef7cf5700ac1a99cea2d,4f0d1cdedeb4b2b2,,,,img04,26,22,,pending_scene_review,,not_verified,pending_visual_review
wh005,WhatsApp Image 2026-09-07 at 9.40.01 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.01 AM.jpeg,960,1280,5ef35e049cd0d26249830305a9e5d9567fb19c65128ba627d57c0bbaf8b60b36,4f0d1ddedeb4b2b2,,,,img08,26,23,,pending_scene_review,,not_verified,pending_visual_review
wh006,WhatsApp Image 2026-09-07 at 9.40.02 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.02 AM.jpeg,1280,960,8516c2beb10cbf085113d4f738b52ee20c85ff2d9cfc5a1f7396025a5ecfaf41,7779fcaebfb5a78f,,,,img04,31,23,,pending_scene_review,,not_verified,pending_visual_review
wh007,WhatsApp Image 2026-09-07 at 9.40.03 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.03 AM.jpeg,1280,960,0fd533766d58e6ccb08eb63a77352a6f77f74843fc8753e996013e1c7d360c75,77697aaea7a5af0f,,,,img03,28,23,,pending_scene_review,,not_verified,pending_visual_review
wh008,WhatsApp Image 2026-09-07 at 9.40.31 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.31 AM (1).jpeg,1280,960,97db5d034628895a1e813fc2e4008137c499b68354e549c7986f3380bdb66adf,9a18080121212626,,,,img03,19,19,,pending_scene_review,,not_verified,pending_visual_review
wh009,WhatsApp Image 2026-09-07 at 9.40.31 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.31 AM.jpeg,1280,960,509b3b6f01e2a6dfef2400582abe7c185f47b3085e45b3c790f09dd07da10b3c,1a18080121212636,,,,img03,19,18,,pending_scene_review,,not_verified,pending_visual_review
wh010,WhatsApp Image 2026-09-07 at 9.40.33 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.33 AM (1).jpeg,1280,960,9cafbe06cf8b46b969859ee1ae8bbc4a9b55666942feb847a0f42c121fb5cce8,f6e6f3f3f2cfdddc,,,,img04,26,21,,pending_scene_review,,not_verified,pending_visual_review
wh011,WhatsApp Image 2026-09-07 at 9.40.33 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.33 AM.jpeg,960,1280,f37d0e84bb2987de35ebdbab2a3df68b8702e4906f7df194cc34b62ebd724ac3,321317273786f4f3,,,,img02,26,19,,pending_scene_review,,not_verified,pending_visual_review
wh012,WhatsApp Image 2026-09-07 at 9.40.34 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.34 AM.jpeg,960,1280,5f5cbf2e535687a2ecd548cc370d0de4e6c27db85b3b5a4e22075028b6b53118,321717272786f4f3,,,,img01,26,21,,pending_scene_review,,not_verified,pending_visual_review
wh013,WhatsApp Image 2026-09-07 at 9.40.35 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.35 AM.jpeg,1280,960,b5fe4fd90b18e5c449bc43f4224b85074bf7504ba77991839ece9db564c1f2a7,faf7f17979efeede,,,,img03,32,18,,pending_scene_review,,not_verified,pending_visual_review
wh014,WhatsApp Image 2026-09-07 at 9.40.36 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.36 AM.jpeg,960,1280,56f41cc73abb1a7c4d58ae0b9673440617281db0870337bca7084a7c7c54f357,021ace6c0ccd6df8,,,,img08,26,19,,pending_scene_review,,not_verified,pending_visual_review
wh015,WhatsApp Image 2026-09-07 at 9.40.38 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.38 AM (1).jpeg,960,1280,22d1235ee9c4bd841fe7f9c584262958dca561ef6a2d35063dee88223ac5a077,fe3f0f3f3bbb9bbb,,,,img04,18,18,,pending_scene_review,,not_verified,pending_visual_review
wh016,WhatsApp Image 2026-09-07 at 9.40.38 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.38 AM.jpeg,960,1280,22d1235ee9c4bd841fe7f9c584262958dca561ef6a2d35063dee88223ac5a077,fe3f0f3f3bbb9bbb,wh015,,,img04,18,18,,pending_scene_review,,not_verified,pending_visual_review
wh017,WhatsApp Image 2026-09-07 at 9.40.39 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.39 AM.jpeg,960,1280,14572222f85b37e231df3d9b2402b8e10b5e5f40bb865e34495f00e1bd12d3ac,7d5f57483113b5b4,,,,img04,25,21,,pending_scene_review,,not_verified,pending_visual_review
wh018,WhatsApp Image 2026-09-07 at 9.40.40 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.40 AM (1).jpeg,1280,960,1468438157130d00770b584a2faf7a9985e47cff55cec2bcceb52b317d918de3,3c252323032a6a6a,,,,img01,19,21,,pending_scene_review,,not_verified,pending_visual_review
wh019,WhatsApp Image 2026-09-07 at 9.40.40 AM (2).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.40 AM (2).jpeg,1280,960,bf53412e35d769ee1140147cfaef1b3b14cb643654bfbac92e204eec95b00d3e,3c252323132a6a6a,,,,img01,20,21,,pending_scene_review,,not_verified,pending_visual_review
wh020,WhatsApp Image 2026-09-07 at 9.40.40 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.40 AM.jpeg,1280,960,4bf7380e18f7e39b47e5f134059f8a4aae9ef369e9112a6d4dbe30c8d303d7b8,1c242323032a6a6a,,,,img01,19,21,,pending_scene_review,,not_verified,pending_visual_review
wh021,WhatsApp Image 2026-09-07 at 9.40.41 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.41 AM (1).jpeg,1280,960,f1462bc393e0afab7bf2ccc584894f3b2861dcb30754c8fcd68b95b99674539f,3b1f1e16141626bb,,,,img02,26,18,,pending_scene_review,,not_verified,pending_visual_review
wh022,WhatsApp Image 2026-09-07 at 9.40.41 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.41 AM.jpeg,1280,960,f2677926f480114b8b464fb34ec44722a2d91049ead04609abe94e8992378fbf,3e5e2e2424447272,,,,img07,26,23,,pending_scene_review,,not_verified,pending_visual_review
wh023,WhatsApp Image 2026-09-07 at 9.40.42 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.42 AM.jpeg,1280,960,0875b154e629ede556060585abeb5e8d2ef82ca38e62eeafc9c81cf3db10db9f,9e8cc80919197172,,,,img05,24,21,,pending_scene_review,,not_verified,pending_visual_review
wh024,WhatsApp Image 2026-09-07 at 9.40.43 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.43 AM (1).jpeg,1280,960,0eb646ecef30da7fe131cd12242d2b49d883751eaa69e1e55e55284a0f053431,1e5e2c2c2c447272,,,,img07,22,22,,pending_scene_review,,not_verified,pending_visual_review
wh025,WhatsApp Image 2026-09-07 at 9.40.43 AM (2).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.43 AM (2).jpeg,960,1280,a7b9af0cbbd5a5f86846051869ec7806ee29d3e4efabef1e68588633433abda0,8d8fccc9c8d99c8c,,,,img04,25,20,,pending_scene_review,,not_verified,pending_visual_review
wh026,WhatsApp Image 2026-09-07 at 9.40.43 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.43 AM.jpeg,960,1280,76cca29b3b3c9fb81d1cea6589d60bf82dad762e1462324a8901302fc74b715f,cccfccccee627252,,,,img07,22,22,,pending_scene_review,,not_verified,pending_visual_review
wh027,WhatsApp Image 2026-09-07 at 9.40.44 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.44 AM.jpeg,960,1280,875a4a04376d3d164732e2992fabb2788efcaa07e8b7908f353d89cbf6e7b626,0e8c99d9d39999c9,,,,img04,23,20,,pending_scene_review,,not_verified,pending_visual_review
wh028,WhatsApp Image 2026-09-07 at 9.40.45 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.45 AM (1).jpeg,960,1280,9373689cbb8336e5cf42872d7c1c4e38dc00593eaa8a0a2db19d14418f401775,000707c7c6e6721b,,,,img08,24,17,,pending_scene_review,,not_verified,pending_visual_review
wh029,WhatsApp Image 2026-09-07 at 9.40.45 AM (2).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.45 AM (2).jpeg,1280,960,b8b13111513df8a63d9e8ea9338cddd1b0adbf9fbb078498a085f280a733f4e7,1f9e949494307574,,,,img04,29,17,,pending_scene_review,,not_verified,pending_visual_review
wh030,WhatsApp Image 2026-09-07 at 9.40.45 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.45 AM.jpeg,1280,960,7b61c1524b7f506427fb463d99c629ee6d52bdff44b263beaf31b59dac93ec53,3f1e1929256167e5,,,,img03,19,16,,pending_scene_review,,not_verified,pending_visual_review
wh031,WhatsApp Image 2026-09-07 at 9.40.46 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.46 AM (1).jpeg,960,1280,4653e5f7760ffee3fad019d030d7cca12687b2ba91cf95ad8b145097d5d7d314,000f0e8f8fc6723a,,,,img01,26,21,,pending_scene_review,,not_verified,pending_visual_review
wh032,WhatsApp Image 2026-09-07 at 9.40.46 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.46 AM.jpeg,1280,960,e17daf2597782af9b797f75e559d8806ac8c9948647009aea1064219849bbc87,1f9e941414206564,,,,img06,27,18,,pending_scene_review,,not_verified,pending_visual_review
wh033,WhatsApp Image 2026-09-07 at 9.40.47 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.47 AM (1).jpeg,1280,960,5cf95d8a203bcd669cd425d4fe783c6045acd11ab98c025633166fa7017f4df3,3e3e3d23219ba6ca,,,,img01,20,21,,pending_scene_review,,not_verified,pending_visual_review
wh034,WhatsApp Image 2026-09-07 at 9.40.47 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.47 AM.jpeg,1280,960,27919de1514a1d163cafb617c894143e63bc1f19772383d78209c9df1380b650,781f1f9e8e2648cc,,,,img04,21,18,,pending_scene_review,,not_verified,pending_visual_review
wh035,WhatsApp Image 2026-09-07 at 9.40.48 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.48 AM (1).jpeg,1280,960,296cadf32449ec122dc9090723e06be2e590679c3c3fa86fe6ecf2dcc830ccd6,781f16169616486c,,,,img04,19,18,,pending_scene_review,,not_verified,pending_visual_review
wh036,WhatsApp Image 2026-09-07 at 9.40.48 AM (2).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.48 AM (2).jpeg,1280,960,5c9efc01d6ff16d9c73173cfcb091bde0258f5c20c16bfa80f9aaaa3b1929e38,090f0b0b4b4a92d3,,,,img01,22,21,,pending_scene_review,,not_verified,pending_visual_review
wh037,WhatsApp Image 2026-09-07 at 9.40.48 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.48 AM.jpeg,1280,960,e606b36a3b10a70260094bd0210b21ef46edd59fb8734fd368f8466dfb6078cb,3c7e3c2b238ba78c,,,,img01,22,19,,pending_scene_review,,not_verified,pending_visual_review
wh038,WhatsApp Image 2026-09-07 at 9.40.49 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.49 AM (1).jpeg,1280,960,3287801ce393c9690956cc5110f60f025339cbf2ce7d8160382ee6ed58552516,0f0b0b0b0bd2d3d3,,,,img01,23,18,,pending_scene_review,,not_verified,pending_visual_review
wh039,WhatsApp Image 2026-09-07 at 9.40.49 AM.jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.49 AM.jpeg,1280,960,bca550b0e7ee922b28f15e4a211676a8deff169aab7ba044659dcce6b8190c49,484b070f875fb6b6,,,,img01,24,22,,pending_scene_review,,not_verified,pending_visual_review
wh040,WhatsApp Image 2026-09-07 at 9.40.50 AM (1).jpeg,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.50 AM (1).jpeg,900,1600,90c6038ef16f93c22ec6cb76fa531e580e38654337dda576bbe46ec4fc5b2baa,1e9e3e3efe7e3e34,,,,img04,25,19,,pending_scene_review,,not_verified,pending_visual_review
